Index Title,Top Level Index Category,Total Number of Links to Index,Word Count of Primary Version,Number of Links / Number of Words,Number of distinct texts linked to this text,Number of top-level Categories linked,Number of distinct texts linked from Tanakh,Total number of links from Tanakh,Number of distinct texts linked from Mishnah,Total number of links from Mishnah,Number of distinct texts linked from Talmud,Total number of links from Talmud,Number of distinct texts linked from Midrash,Total number of links from Midrash,Number of distinct texts linked from Halakhah,Total number of links from Halakhah,Number of distinct texts linked from Kabbalah,Total number of links from Kabbalah,Number of distinct texts linked from Liturgy,Total number of links from Liturgy,Number of distinct texts linked from Jewish Thought,Total number of links from Jewish Thought,Number of distinct texts linked from Tosefta,Total number of links from Tosefta,Number of distinct texts linked from Chasidut,Total number of links from Chasidut,Number of distinct texts linked from Musar,Total number of links from Musar,Number of distinct texts linked from Responsa,Total number of links from Responsa,Number of distinct texts linked from Second Temple,Total number of links from Second Temple,Number of distinct texts linked from Reference,Total number of links from Reference
Rashi on Judges,Tanakh,657,6349,0.10348086312805166,49,5,26,579,3,4,17,35,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37
Rashi on I Samuel,Tanakh,942,9884,0.0953055443140429,53,6,27,841,1,1,21,63,2,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,32
Rashi on II Samuel,Tanakh,644,7629,0.08441473325468607,41,4,21,580,0,0,17,47,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14
Rashi on I Kings,Tanakh,907,10889,0.0832950684176692,52,5,25,786,3,3,17,78,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33
Rashi on II Kings,Tanakh,754,7872,0.09578252032520325,50,5,26,653,0,0,17,64,5,7,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,27
Rashi on Isaiah,Tanakh,3749,41490,0.0903591226801639,68,8,38,3496,5,6,17,48,4,27,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,169
Rashi on Jeremiah,Tanakh,1845,16779,0.10995887716788844,52,6,36,1672,2,2,10,21,2,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,143
Rashi on Ezekiel,Tanakh,2418,30220,0.0800132362673726,64,8,34,2138,9,26,15,34,2,10,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,207
Rashi on Hosea,Tanakh,661,7784,0.08491778006166495,40,5,26,615,1,1,9,21,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16
Rashi on Joel,Tanakh,128,1097,0.11668185961713765,15,2,14,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
Rashi on Amos,Tanakh,357,3937,0.09067818135636271,27,4,22,344,0,0,3,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
Rashi on Obadiah,Tanakh,54,543,0.09944751381215469,8,3,6,47,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
Rashi on Jonah,Tanakh,72,771,0.0933852140077821,8,2,7,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
Rashi on Micah,Tanakh,250,2840,0.0880281690140845,23,2,22,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
Rashi on Nahum,Tanakh,178,1600,0.11125,21,3,18,167,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
Rashi on Habakkuk,Tanakh,220,2141,0.10275572162540869,22,2,21,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
Rashi on Zephaniah,Tanakh,113,983,0.11495422177009156,16,2,15,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Rashi on Haggai,Tanakh,63,856,0.07359813084112149,9,2,7,60,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rashi on Zechariah,Tanakh,498,5784,0.08609958506224066,41,5,26,470,2,2,11,18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
Rashi on Malachi,Tanakh,126,1628,0.0773955773955774,18,4,12,116,1,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
Rashi on Psalms,Tanakh,3654,37608,0.0971601786853861,69,7,37,3449,6,6,19,48,3,5,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,1,143
Rashi on Proverbs,Tanakh,1494,15573,0.0959352725871701,57,6,31,1416,6,7,13,22,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,43
Rashi on Job,Tanakh,2156,20707,0.10411937991983387,58,5,36,2027,3,5,16,51,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69
Rashi on Song of Songs,Tanakh,787,8366,0.09407124073631365,53,5,31,739,3,3,15,23,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18
