Index Title,Top Level Index Category,Total Number of Links to Index,Word Count of Primary Version,Number of Links / Number of Words,Number of distinct texts linked to this text,Number of top-level Categories linked,Number of distinct texts linked from Tanakh,Total number of links from Tanakh,Number of distinct texts linked from Mishnah,Total number of links from Mishnah,Number of distinct texts linked from Talmud,Total number of links from Talmud,Number of distinct texts linked from Midrash,Total number of links from Midrash,Number of distinct texts linked from Halakhah,Total number of links from Halakhah,Number of distinct texts linked from Kabbalah,Total number of links from Kabbalah,Number of distinct texts linked from Liturgy,Total number of links from Liturgy,Number of distinct texts linked from Jewish Thought,Total number of links from Jewish Thought,Number of distinct texts linked from Tosefta,Total number of links from Tosefta,Number of distinct texts linked from Chasidut,Total number of links from Chasidut,Number of distinct texts linked from Musar,Total number of links from Musar,Number of distinct texts linked from Responsa,Total number of links from Responsa,Number of distinct texts linked from Second Temple,Total number of links from Second Temple,Number of distinct texts linked from Reference,Total number of links from Reference
Tosefta Kifshutah on Megillah,Tosefta,326,54428,0.005989564194899684,35,5,11,32,4,8,16,40,0,0,2,3,0,0,0,0,0,0,2,242,0,0,0,0,0,0,0,0,0,0
Tosefta Kifshutah on Moed Katan,Tosefta,106,20641,0.005135410106099511,18,6,5,5,1,1,7,7,0,0,2,2,1,1,0,0,0,0,2,90,0,0,0,0,0,0,0,0,0,0
Tosefta Kifshutah on Chagigah,Tosefta,279,37885,0.007364392239672694,37,6,9,18,6,9,18,37,1,1,1,1,0,0,0,0,0,0,2,213,0,0,0,0,0,0,0,0,0,0
Tosefta Kifshutah on Yevamot,Tosefta,813,102527,0.007929618539506666,32,5,6,9,6,12,16,60,0,0,3,3,0,0,0,0,0,0,1,729,0,0,0,0,0,0,0,0,0,0
Tosefta Kifshutah on Ketubot,Tosefta,570,116668,0.004885658449617718,34,5,6,6,5,6,20,74,0,0,1,5,0,0,0,0,0,0,2,479,0,0,0,0,0,0,0,0,0,0
Tosefta Kifshutah on Nedarim,Tosefta,258,61441,0.004199150404453052,3,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,256,0,0,0,0,0,0,0,0,0,0
Tosefta Kifshutah on Nazir,Tosefta,310,40465,0.007660941554429754,34,6,9,11,5,7,17,27,1,1,1,1,0,0,0,0,0,0,1,263,0,0,0,0,0,0,0,0,0,0
Tosefta Kifshutah on Sotah,Tosefta,761,90862,0.008375338425304307,31,5,12,43,4,4,11,14,3,5,0,0,0,0,0,0,0,0,1,695,0,0,0,0,0,0,0,0,0,0
Tosefta Kifshutah on Gittin,Tosefta,350,77367,0.004523892615714711,29,7,3,4,4,5,16,41,1,1,1,2,1,1,0,0,0,0,3,296,0,0,0,0,0,0,0,0,0,0
Tosefta Kifshutah on Kiddushin,Tosefta,278,39071,0.007115251721225462,28,4,11,18,3,4,13,32,0,0,0,0,0,0,0,0,0,0,1,223,0,0,0,0,0,0,0,0,0,0
Tosefta Kifshutah on Bava Kamma,Tosefta,928,76504,0.01213008470145352,35,5,10,21,2,2,20,32,0,0,0,0,1,1,0,0,0,0,2,872,0,0,0,0,0,0,0,0,0,0
Tosefta Kifshutah on Bava Metzia,Tosefta,942,101842,0.009249621963433555,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,942,0,0,0,0,0,0,0,0,0,0
Tosefta Kifshutah on Bava Batra,Tosefta,672,77694,0.008649316549540506,37,5,12,19,7,7,16,32,0,0,1,1,0,0,0,0,0,0,1,613,0,0,0,0,0,0,0,0,0,0
Variants on Berakhot,Tosefta,2111,11912,0.17721625251846876,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2111,0,0,0,0,0,0,0,0,0,0
Variants on Peah,Tosefta,1002,5218,0.19202759678037562,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1002,0,0,0,0,0,0,0,0,0,0
Variants on Demai,Tosefta,1926,10030,0.19202392821535394,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1926,0,0,0,0,0,0,0,0,0,0
Variants on Terumot,Tosefta,2557,13227,0.1933167006879867,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2557,0,0,0,0,0,0,0,0,0,0
Variants on Sheviit,Tosefta,1589,8097,0.19624552303322218,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1589,0,0,0,0,0,0,0,0,0,0
Variants on Kilayim,Tosefta,998,5147,0.19389935884981543,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,998,0,0,0,0,0,0,0,0,0,0
Variants on Maasrot,Tosefta,765,4028,0.18992055610724926,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,764,0,0,0,0,0,0,0,0,0,0
Variants on Maaser Sheni,Tosefta,1611,8375,0.19235820895522387,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1611,0,0,0,0,0,0,0,0,0,0
Variants on Orlah,Tosefta,107,577,0.1854419410745234,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,107,0,0,0,0,0,0,0,0,0,0
Variants on Challah,Tosefta,310,1687,0.18375815056312983,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,310,0,0,0,0,0,0,0,0,0,0
Variants on Bikkurim,Tosefta,335,1957,0.1711803781297905,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,335,0,0,0,0,0,0,0,0,0,0
Variants on Shabbat,Tosefta,4368,25180,0.17347100873709292,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4368,0,0,0,0,0,0,0,0,0,0
Variants on Eruvin,Tosefta,2695,15329,0.17581055515689217,2,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2692,0,0,0,0,0,0,0,0,0,0
Variants on Pesachim,Tosefta,3133,18013,0.17392993948814744,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3133,0,0,0,0,0,0,0,0,0,0
Variants on Shekalim,Tosefta,970,5377,0.1803979914450437,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,970,0,0,0,0,0,0,0,0,0,0
Variants on Yoma,Tosefta,1991,11633,0.17115103584629932,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1991,0,0,0,0,0,0,0,0,0,0
Variants on Sukkah,Tosefta,1245,7400,0.16824324324324325,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1245,0,0,0,0,0,0,0,0,0,0
Variants on Beitzah,Tosefta,1269,7623,0.16646989374262103,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1269,0,0,0,0,0,0,0,0,0,0
Variants on Rosh Hashanah,Tosefta,795,4585,0.173391494002181,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,795,0,0,0,0,0,0,0,0,0,0
Variants on Taanit,Tosefta,1091,6270,0.17400318979266347,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1091,0,0,0,0,0,0,0,0,0,0
Variants on Megillah,Tosefta,1088,6157,0.1767094364138379,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1088,0,0,0,0,0,0,0,0,0,0
Variants on Moed Katan,Tosefta,409,2330,0.17553648068669528,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,409,0,0,0,0,0,0,0,0,0,0
Variants on Chagigah,Tosefta,1031,6197,0.1663708245925448,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1031,0,0,0,0,0,0,0,0,0,0
Variants on Yevamot,Tosefta,2866,15976,0.17939409113670507,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2866,0,0,0,0,0,0,0,0,0,0
Variants on Ketubot,Tosefta,2139,11741,0.1821820969253045,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2139,0,0,0,0,0,0,0,0,0,0
Variants on Nedarim,Tosefta,1174,6554,0.17912725053402503,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1174,0,0,0,0,0,0,0,0,0,0
Variants on Nazir,Tosefta,1257,6742,0.1864431919311777,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1257,0,0,0,0,0,0,0,0,0,0
Variants on Sotah,Tosefta,2341,20660,0.11331074540174249,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2341,0,0,0,0,0,0,0,0,0,0
Variants on Gittin,Tosefta,1355,7113,0.1904962744271053,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1355,0,0,0,0,0,0,0,0,0,0
Variants on Kiddushin,Tosefta,1146,6116,0.18737737083060824,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1146,0,0,0,0,0,0,0,0,0,0
Variants on Bava Kamma,Tosefta,2674,14398,0.1857202389220725,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2674,0,0,0,0,0,0,0,0,0,0
Variants on Bava Metzia,Tosefta,1684,15613,0.10785883558572984,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1684,0,0,0,0,0,0,0,0,0,0
Variants on Bava Batra,Tosefta,1784,9933,0.17960334239404008,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1784,0,0,0,0,0,0,0,0,0,0
Tosefta Berakhot,Tosefta,734,6703,0.10950320751902133,114,10,25,125,12,113,34,272,15,77,4,5,0,0,0,0,3,4,17,33,0,0,0,0,2,2,1,4,1,85
Tosefta Peah,Tosefta,357,3052,0.11697247706422019,84,10,10,39,12,88,28,96,10,40,4,24,0,0,0,0,2,2,14,23,0,0,2,2,1,1,0,0,1,39
Tosefta Demai,Tosefta,530,6858,0.07728200641586469,91,9,7,15,20,131,35,199,6,12,3,5,0,0,0,0,0,0,17,46,1,1,0,0,1,1,0,0,1,93
Tosefta Terumot,Tosefta,864,8452,0.10222432560340748,141,9,8,19,33,259,48,290,7,14,3,16,0,0,0,0,1,2,39,115,1,1,0,0,0,0,0,0,1,130
Tosefta Sheviit,Tosefta,649,5065,0.12813425468904244,102,9,8,13,18,175,33,203,5,7,6,11,0,0,1,1,1,6,28,62,0,0,0,0,0,0,0,0,2,164
Tosefta Kilayim,Tosefta,274,3230,0.0848297213622291,55,8,2,3,12,96,20,48,3,10,1,1,0,0,0,0,0,0,15,20,0,0,0,0,1,3,0,0,1,89
Tosefta Maasrot,Tosefta,203,2105,0.09643705463182897,40,7,1,1,9,74,13,38,1,1,1,1,0,0,0,0,0,0,13,15,0,0,0,0,0,0,0,0,2,69
Tosefta Maaser Sheni,Tosefta,286,4712,0.060696095076400676,85,7,10,15,18,81,30,73,5,12,1,3,0,0,0,0,0,0,20,53,0,0,0,0,0,0,0,0,1,43
Tosefta Orlah,Tosefta,29,326,0.08895705521472393,14,5,1,1,2,10,9,14,1,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Tosefta Challah,Tosefta,87,1041,0.08357348703170028,27,7,1,1,3,30,13,20,2,6,1,2,0,0,0,0,0,0,6,12,0,0,0,0,0,0,0,0,1,16
Tosefta Bikkurim,Tosefta,119,981,0.12130479102956167,55,7,6,12,14,54,18,30,2,5,1,1,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,1,2
Tosefta Shabbat,Tosefta,1414,12059,0.11725682063189319,112,9,18,46,19,170,28,456,12,28,0,0,1,1,0,0,1,1,30,80,0,0,0,0,1,1,0,0,2,621
Tosefta Eruvin,Tosefta,556,6679,0.08324599490941757,52,6,3,3,10,172,18,239,6,9,0,0,0,0,0,0,0,0,14,48,0,0,0,0,0,0,0,0,1,56
Tosefta Pesachim,Tosefta,751,7932,0.09467977811396873,113,8,10,50,19,125,37,367,7,42,5,6,0,0,1,4,0,0,32,82,0,0,0,0,0,0,0,0,2,62
Tosefta Shekalim,Tosefta,202,2563,0.07881388997268826,75,6,9,16,10,44,27,80,6,16,0,0,0,0,0,0,0,0,22,26,0,0,0,0,0,0,0,0,1,16
Tosefta Yoma,Tosefta,509,4740,0.10738396624472574,89,9,17,60,12,72,30,238,6,39,2,2,1,1,0,0,0,0,19,31,0,0,0,0,0,0,1,1,1,60
Tosefta Sukkah,Tosefta,251,3106,0.08081133290405666,69,6,12,25,10,36,26,127,7,12,0,0,0,0,0,0,0,0,13,16,0,0,0,0,0,0,0,0,1,34
Tosefta Beitzah,Tosefta,296,3129,0.0945989133908597,46,7,1,1,11,55,16,150,4,8,3,4,0,0,0,0,0,0,10,32,0,0,0,0,0,0,0,0,1,40
Tosefta Rosh Hashanah,Tosefta,94,2204,0.0426497277676951,37,5,10,21,4,10,11,35,4,13,0,0,0,0,0,0,0,0,8,13,0,0,0,0,0,0,0,0,0,0
Tosefta Ta'anit,Tosefta,230,2659,0.08649868371568259,66,7,17,36,9,34,18,103,10,24,0,0,0,0,0,0,0,0,9,11,0,0,0,0,0,0,1,6,2,14
Tosefta Megillah,Tosefta,441,2882,0.15301873698820265,99,9,16,68,18,60,36,223,4,14,1,1,0,0,0,0,0,0,20,40,0,0,0,0,2,4,1,1,1,29
Tosefta Moed Katan,Tosefta,93,1073,0.08667287977632805,21,6,1,1,3,9,9,52,1,1,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,0,0,1,21
Tosefta Chagigah,Tosefta,251,2794,0.0898353614889048,85,8,12,25,16,43,30,121,9,24,2,2,0,0,0,0,1,1,14,17,0,0,0,0,0,0,0,0,1,18
Tosefta Yevamot,Tosefta,691,8470,0.08158205430932704,93,8,7,19,15,160,32,360,7,24,3,5,0,0,0,0,0,0,26,59,0,0,0,0,2,2,0,0,1,45
Tosefta Ketubot,Tosefta,543,6476,0.08384805435453983,92,7,6,10,18,119,28,274,10,17,1,3,0,0,0,0,0,0,28,57,0,0,0,0,0,0,0,0,1,56
Tosefta Nedarim,Tosefta,282,3232,0.08725247524752475,57,7,8,13,8,65,21,142,8,19,0,0,0,0,0,0,0,0,10,11,0,0,1,1,0,0,0,0,1,26
Tosefta Nazir,Tosefta,315,3894,0.08089368258859785,68,7,1,5,15,69,26,148,2,18,2,2,0,0,0,0,0,0,20,43,0,0,0,0,0,0,0,0,2,24
Tosefta Sotah,Tosefta,1124,12391,0.09071099991929626,166,11,43,398,25,109,43,313,21,183,1,1,1,1,0,0,4,4,25,31,1,1,0,0,0,0,1,2,1,74
Tosefta Gittin,Tosefta,397,4445,0.08931383577052869,61,7,3,7,13,88,18,195,3,8,1,1,0,0,0,0,0,0,21,48,0,0,0,0,0,0,0,0,2,35
Tosefta Kiddushin,Tosefta,324,3675,0.08816326530612245,66,7,10,14,9,60,22,156,10,27,1,1,0,0,0,0,0,0,13,22,0,0,0,0,0,0,0,0,1,31
Tosefta Bava Kamma,Tosefta,683,11104,0.061509365994236315,96,8,13,57,20,125,26,333,9,33,1,1,0,0,0,0,0,0,25,50,0,0,0,0,0,0,1,1,1,60
Tosefta Bava Metzia,Tosefta,550,11252,0.048880199075719874,82,7,7,22,13,114,24,281,9,34,1,1,0,0,0,0,0,0,27,44,0,0,0,0,0,0,0,0,1,42
Tosefta Bava Batra,Tosefta,521,7824,0.06658997955010225,68,6,6,7,9,101,22,261,6,8,0,0,0,0,0,0,0,0,24,44,0,0,0,0,0,0,0,0,1,80
Tosefta Sanhedrin,Tosefta,533,10046,0.05305594266374677,130,11,24,120,12,49,53,256,15,36,1,1,3,3,0,0,0,0,17,18,1,1,0,0,2,3,1,2,1,42
Tosefta Makkot,Tosefta,118,2653,0.0444779494911421,51,7,4,10,7,13,21,45,3,10,3,3,0,0,0,0,0,0,12,17,0,0,0,0,0,0,0,0,1,12
Tosefta Shevuot,Tosefta,153,3777,0.04050833995234313,46,7,7,31,6,17,16,48,8,27,2,2,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,0,1,9
Tosefta Eduyot,Tosefta,121,2263,0.053468846663720725,61,7,9,14,7,27,25,45,2,2,0,0,0,0,0,0,0,0,16,23,0,0,1,1,0,0,0,0,1,9
Tosefta Avodah Zarah,Tosefta,371,5952,0.06233198924731183,76,7,14,32,5,25,35,138,9,17,0,0,0,0,0,0,1,1,11,15,0,0,0,0,0,0,0,0,1,141
Tosefta Horayot,Tosefta,122,1321,0.09235427706283118,45,6,11,19,4,19,18,55,9,22,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,1,3
Tosefta Zevachim,Tosefta,656,10308,0.06363989134652696,76,7,6,15,12,107,32,307,5,60,1,1,0,0,0,0,0,0,19,111,0,0,0,0,0,0,0,0,1,10
Tosefta Chullin,Tosefta,408,5826,0.07003089598352215,76,9,9,40,12,71,27,178,5,21,4,4,0,0,0,0,1,1,16,20,0,0,0,0,1,1,0,0,1,58
Tosefta Menachot,Tosefta,586,10654,0.05500281584381453,87,7,11,40,5,89,36,233,12,70,0,0,0,0,0,0,0,0,21,98,1,3,0,0,0,0,0,0,1,21
Tosefta Bekhorot,Tosefta,257,4470,0.05749440715883669,65,8,5,13,7,54,34,136,5,10,1,1,0,0,0,0,0,0,11,15,0,0,0,0,1,2,0,0,1,20
Tosefta Arakhin,Tosefta,169,4037,0.04186276938320535,54,7,10,28,9,32,21,67,4,22,1,2,0,0,0,0,0,0,8,14,0,0,0,0,0,0,0,0,1,3
Tosefta Temurah,Tosefta,119,2740,0.04343065693430657,38,5,5,6,5,19,16,58,2,10,0,0,0,0,0,0,0,0,10,23,0,0,0,0,0,0,0,0,0,0
Tosefta Meilah,Tosefta,132,1988,0.06639839034205232,35,6,2,2,6,29,17,62,1,11,0,0,0,0,0,0,0,0,8,20,0,0,0,0,0,0,0,0,1,4
Tosefta Keritot,Tosefta,159,3259,0.04878797177048174,46,7,5,9,3,39,20,53,5,16,1,1,0,0,0,0,0,0,11,22,0,0,0,0,0,0,0,0,1,3
Tosefta Kelim Kamma,Tosefta,152,4570,0.03326039387308534,46,7,4,6,6,29,16,26,4,9,4,6,0,0,0,0,0,0,10,22,0,0,0,0,0,0,0,0,2,47
Tosefta Kelim Metzia,Tosefta,250,5771,0.04332004851845434,39,6,3,3,8,36,15,24,3,5,0,0,0,0,0,0,0,0,8,28,0,0,0,0,0,0,0,0,2,140
Tosefta Kelim Batra,Tosefta,119,3801,0.03130755064456722,26,5,0,0,3,25,11,26,2,2,0,0,0,0,0,0,0,0,9,25,0,0,0,0,0,0,0,0,1,33
Tosefta Oholot,Tosefta,406,9971,0.040718082439073315,64,6,1,1,10,142,29,81,2,2,0,0,0,0,0,0,0,0,20,41,0,0,0,0,0,0,0,0,2,64
Tosefta Negaim,Tosefta,240,6092,0.03939592908732764,54,6,4,15,5,47,25,42,4,38,0,0,0,0,0,0,0,0,14,22,0,0,0,0,0,0,0,0,2,58
Tosefta Parah,Tosefta,242,5261,0.04599885953240829,58,8,6,14,8,51,23,38,4,9,2,5,0,0,0,0,0,0,12,18,1,1,0,0,0,0,0,0,2,101
Tosefta Niddah,Tosefta,238,5136,0.04633956386292835,46,6,6,6,7,30,20,148,3,7,0,0,0,0,0,0,0,0,9,13,0,0,0,0,0,0,0,0,1,32
Tosefta Mikvaot,Tosefta,145,4159,0.03486415003606636,36,7,1,1,2,17,13,22,7,10,2,2,0,0,0,0,0,0,10,23,0,0,0,0,0,0,0,0,1,62
Tosefta Tahorot,Tosefta,178,5917,0.03008281223593037,65,5,0,0,9,36,37,74,2,2,0,0,0,0,0,0,0,0,16,29,0,0,0,0,0,0,0,0,1,28
Tosefta Makhshirin,Tosefta,47,1457,0.03225806451612903,14,5,1,1,2,11,7,10,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,21
Tosefta Zavim,Tosefta,73,1991,0.03666499246609744,33,6,2,2,9,22,12,20,2,8,0,0,0,0,0,0,0,0,7,9,0,0,0,0,0,0,0,0,1,11
Tosefta Yadayim,Tosefta,75,1439,0.05211952744961779,37,7,9,10,4,23,8,14,2,4,5,9,0,0,0,0,0,0,8,9,0,0,0,0,0,0,0,0,1,5
Tosefta Tevul Yom,Tosefta,42,941,0.044633368756641874,14,4,0,0,3,16,9,18,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,6
Tosefta Oktsin,Tosefta,47,1334,0.03523238380809595,25,5,1,1,6,9,11,16,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0,0,0,0,0,1,12
Ben Porat Yosef,Chasidut,2553,222225,0.011488356395545055,87,6,33,1682,6,148,34,564,9,129,4,29,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kedushat Levi,Chasidut,2415,262553,0.009198142851157672,89,8,37,1836,7,39,31,469,7,55,1,2,2,3,3,10,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Ketonet Pasim,Chasidut,1867,125187,0.014913689121074871,79,5,34,1267,4,152,31,386,9,58,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maggid Devarav leYaakov,Chasidut,35,54690,0.0006399707441945512,19,4,11,24,1,2,5,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Me'or Einayim,Chasidut,1328,179554,0.007396103679116032,77,6,33,1062,3,29,30,202,8,27,2,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noam Elimelech,Chasidut,229,172145,0.0013302738970054314,50,5,22,171,2,4,21,47,4,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peri HaAretz,Chasidut,241,50837,0.004740641658634459,61,5,30,171,2,13,22,40,5,14,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toldot Yaakov Yosef,Chasidut,2554,468029,0.0054569268143640675,98,8,37,1810,7,103,34,507,10,110,6,18,2,3,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0
Tzava'at HaRivash,Chasidut,214,11149,0.019194546596107274,46,7,18,135,2,14,20,57,2,2,2,2,1,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
Tzofnat Paneach,Chasidut,2686,213414,0.012585865969430308,93,7,35,1892,7,149,34,507,9,106,6,29,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Chayei Moharan,Chasidut,226,98071,0.0023044528963709963,53,7,19,142,1,2,22,63,3,3,4,5,1,2,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0
Likutei Etzot,Chasidut,173,74990,0.002306974263235098,29,5,23,146,1,2,2,2,0,0,1,1,0,0,0,0,0,0,0,0,2,20,0,0,0,0,0,0,0,0
Likutei Halakhot,Chasidut,3734,2209238,0.0016901755265842794,104,8,39,2554,7,60,31,908,12,28,4,18,3,38,3,3,0,0,0,0,5,123,0,0,0,0,0,0,0,0
Likutei Moharan,Chasidut,6191,204874,0.03021857336704511,118,8,40,4258,16,186,37,1344,12,140,2,10,4,113,1,2,0,0,0,0,6,132,0,0,0,0,0,0,0,0
Likutei Tefilot,Chasidut,47,248685,0.00018899410901341055,14,2,12,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0
Sefer HaMiddot,Chasidut,152,33678,0.004513332145614348,30,4,19,135,1,2,8,12,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0
Shivchei HaRan,Chasidut,80,4626,0.01729355814958928,29,4,24,71,1,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
Sichot HaRan,Chasidut,186,53802,0.0034571205531392884,55,9,20,98,1,5,17,36,1,1,1,1,1,1,1,1,0,0,0,0,10,33,3,3,0,0,0,0,0,0
Sippurei Maasiyot,Chasidut,36,46063,0.0007815383279421662,17,4,11,30,0,0,4,4,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Derekh Mitzvotekha,Chasidut,1004,213815,0.004695648107008395,70,7,28,770,7,20,29,201,3,9,1,1,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
Likkutei Torah,Chasidut,22755,688339,0.033057839233284765,83,7,36,2210,1,7,32,287,4,7,2,10,4,35,0,0,0,0,0,0,4,20198,0,0,0,0,0,0,0,0
Sources and References on Likkutei Torah,Chasidut,20196,302368,0.06679278230500582,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20193,0,0,0,0,0,0,0,0
Sources and References on Torah Ohr,Chasidut,6128,144860,0.04230291315753141,8,4,0,0,0,0,4,4,0,0,1,1,1,1,0,0,0,0,0,0,2,6116,0,0,0,0,0,0,0,0
Tanya,Chasidut,1774,77465,0.022900664816368682,64,6,38,1592,2,3,16,37,2,2,0,0,4,125,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0
Torah Ohr,Chasidut,6785,250963,0.027035857875463715,77,9,35,588,2,5,22,44,3,6,3,3,5,14,2,2,0,0,0,0,4,6122,1,1,0,0,0,0,0,0
Beit Yaakov on Torah,Chasidut,3788,557040,0.006800229786011776,101,6,37,2313,9,36,36,1318,15,49,2,6,2,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mei HaShiloach,Chasidut,2800,187857,0.014904954300345476,89,6,38,1948,9,21,35,808,5,14,0,0,1,8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Sha'ar HaEmunah VeYesod HaChasidut,Chasidut,414,37903,0.01092261826240667,59,5,30,296,3,8,24,83,1,3,0,0,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sod Yesharim,Chasidut,1832,510771,0.0035867345640218417,76,5,30,570,3,7,33,1103,9,48,0,0,1,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tiferet Yosef,Chasidut,1272,122610,0.010374357719598727,73,6,34,804,5,19,31,439,1,1,1,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Divrei Chalomot,Chasidut,37,10096,0.0036648177496038034,20,4,1,2,1,1,17,31,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Divrei Soferim,Chasidut,178,27307,0.006518475116270553,37,4,3,3,3,4,29,166,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dover Tzedek,Chasidut,467,124150,0.003761578735400725,44,4,4,4,4,19,34,429,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Et HaOchel,Chasidut,15,5022,0.002986857825567503,12,2,5,5,0,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kometz HaMincha,Chasidut,209,39550,0.005284450063211125,48,5,16,33,1,2,28,170,2,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Likutei Maamarim,Chasidut,538,101159,0.005318360205221483,45,5,5,5,2,15,31,482,6,35,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Machshavot Charutz,Chasidut,381,100538,0.0037896118880423324,59,6,12,21,3,6,33,337,9,14,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Meshiv HaTa'anah,Chasidut,31,17985,0.0017236586043925493,21,5,4,4,1,1,14,22,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meshiv Tzedek,Chasidut,85,39396,0.002157579449690324,26,4,7,18,1,2,17,61,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
