אתונה,"(37.972819149999985, 23.723743849999998)",9910. תוקידידס המלחמה הפלופונסית 2.85
אתונה,"(37.972819149999985, 23.723743849999998)",9909. תוקידידס המלחמה הפלופונסית 2.103
אתונה,"(37.972819149999985, 23.723743849999998)",9908. תוקידידס המלחמה הפלופונסית 2.73
אתונה,"(37.972819149999985, 23.723743849999998)",9907. תוקידידס המלחמה הפלופונסית 2.58
אתונה,"(37.972819149999985, 23.723743849999998)",9906. תוקידידס המלחמה הפלופונסית 2.57
אתונה,"(37.972819149999985, 23.723743849999998)",9905. תוקידידס המלחמה הפלופונסית 2.48
אתונה,"(37.972819149999985, 23.723743849999998)",9904. תוקידידס המלחמה הפלופונסית 2.43
אתונה,"(37.972819149999985, 23.723743849999998)",9903. תוקידידס המלחמה הפלופונסית 2.42
אתונה,"(37.972819149999985, 23.723743849999998)",9902. תוקידידס המלחמה הפלופונסית 2.39
אתונה,"(37.972819149999985, 23.723743849999998)",9901. תוקידידס המלחמה הפלופונסית 2.23
אתונה,"(37.972819149999985, 23.723743849999998)",9900. תוקידידס המלחמה הפלופונסית 1.144
אתונה,"(37.972819149999985, 23.723743849999998)",9899. תוקידידס המלחמה הפלופונסית 1.143
אתונה,"(37.972819149999985, 23.723743849999998)",9898. תוקידידס המלחמה הפלופונסית 2.3
אתונה,"(37.972819149999985, 23.723743849999998)",9897. תוקידידס המלחמה הפלופונסית 1.141
אתונה,"(37.972819149999985, 23.723743849999998)",9896. תוקידידס המלחמה הפלופונסית 1.114
אתונה,"(37.972819149999985, 23.723743849999998)",9894. תוקידידס המלחמה הפלופונסית 1.127
אתונה,"(37.972819149999985, 23.723743849999998)",9893. תוקידידס המלחמה הפלופונסית 1.122
אתונה,"(37.972819149999985, 23.723743849999998)",9892. תוקידידס המלחמה הפלופונסית 1.86
אתונה,"(37.972819149999985, 23.723743849999998)",9891. תוקידידס המלחמה הפלופונסית 1.73
אתונה,"(37.972819149999985, 23.723743849999998)",9890. תוקידידס המלחמה הפלופונסית 1.107
אתונה,"(37.972819149999985, 23.723743849999998)",9889. תוקידידס המלחמה הפלופונסית 1.121
אתונה,"(37.972819149999985, 23.723743849999998)",9888. תוקידידס המלחמה הפלופונסית 1.68
אתונה,"(37.972819149999985, 23.723743849999998)",9887. תוקידידס המלחמה הפלופונסית 1.99
אתונה,"(37.972819149999985, 23.723743849999998)",9886. תוקידידס המלחמה הפלופונסית 1.92
