headword,error
"איסרקא, איסרתא",
אִיסְתְּױִרָא,
איסתוננס,*
אִיסְתֵּירָא,
אִיסְתַּלְגָנִית,
אִיסְתְּלִית,
אִיסְתַּנְדְּרָא,
אִיסְתְּנֵיס,
אִיסְתַּפְנִינִי,
אִיסְתְּרוֹקְנִית,
"אִיסְתְּרָטִילִיט, אִיסְתְּרַתֵּיגָא",
איפה,
אֵיפּוֹכִי,
אִיפוֹלִין,
אִיפּוּמָא,
אֵיפוֹמַטָּא,
"איפומניטא, אֵיפּוֹמְנִימָא",
אֵיפוּס,
אֵיפוֹפֵי,
"אֵיפוֹפִיס, אֵיפוֹפְסִי",
איפופרין,
איפוריא,
אֵיפְּטָא,
"אִיפַּטְיָא, אִיפַּטְייָא",
אִיפִּיטֵיקוֹס,
איפילין,
איפיפורין,
אִיפְּכָא,
איפלטיסן,
איפליקתא,
איפסטלין,
איפסטקין,
אִיפְסָר,
איפקינין,
איפקרסין,
אִיפְרָא,
איפרוטוס,
אִיפְרוּרְוָון,
"אֵיפַּרְךְ, אֵיפַּרְכָא, אֵיפַּרְכָה, אֵיפַּרְכוֹס",
"אֵיפַּרְכִי, אֵיפַּרְכִיָא",
אֵיפְשִׁי,
אִיפְשַׁר,
אִיצָא,
אִיצֶבֶת,
אִיצְטְבָא,
איצטבלא,
אִיצְטַדִּין,
אִיצְטוֹלֵי,
איצטיוראן,
אִיצְטְלָא,
"איצטלי, אִיצְטְרָא",
אִיצְטְרוֹבָל,
אִיצְטְרוֹלוֹגוֹס,
אִיצְצָא,
אִיצַצְתָּא,
אִיצְרָא,
אִיצְרוֹלוֹג,
איקובטין,
איקוטטא,
"איקומנוס, איקומנס, אֵיקוֹנוֹמוֹס",
"אִיקוֹנְיָא, אִיקוֹנִין",
"אִיקוֹנִין, אִיקוֹנְתָּא",
איקלטא,
אִיקָנְתָּא,
איקסגורין,
"אִיקָר, אִיקָרָא",
אִיקְרִין,
אי״ר,
אִירָא,
אִירוֹנִי,
"אִירוּס, אִירוּסָא",
אֵירוּסִין,
אִירוּעַ,
אִירְיָא,
"אֵירְימוֹן, אֵירִימִיאָה",
אירם,
אִירְמָה,
אִירָס,
אִירְסְיָה,
אִישָׁא,
אִי‬שְׁבּוֹרָן,
אִישָׁה,
אִישׁוּן,
אִישׁוּר,
אִישׁוּת,
אִישׁוּת,
אִישְׂטַטְיוֹן,
אִישְׁכֹּל,
אישלד״ע,
אִישְׁפָּה,
אַיְשַׁר,
אִישְׁתָּא,
"אִשְׁתָּדָא,",
אִישְׁתַּטִּית,*
אִישְׁתְּתָא,
אית׳,
"אִית, אִיתָא",
"אִיתָּא, אִיתָּה, אִיתּוּ",
אִיתִי,
"אִיתַי, אִיתַיי",
אִיתֵּימָא,
אִיתְכְּלָא,
אִיתְּלִיס,
אִיתְמָל,
איתנטייה,
אִיתְּנִיס,
אִיתְקוּטְלָא,
אִיתְּתָא,
א״כ,
אַךְ,*
אַכְאָבִית,
אכא״פ,
אֵכְדֵין,
אכה״ג,
"אַכְוַור, אִכּוּם",
אַכַּזְיָא,
אַכְזִיב,
אַכְזְרָאָה,
אכזריאל,
אכטא,
אֲכִילְתָּא,
אָכִים,
אָכֵין,
אַכָּכָא,
אכ״ל,
אָכַל,
אַכָּלָא,
אָכְלָא,
אַכְלְבָא,
אכלון,
אַכְלוֹנָס,
אָכְלוֹשָׁא,
"אַכְלָיוּת, אַכְלָיוּתָא",
אַכְלָן,
אכל״ק,
אכל״ר,
(אכם) הִתְאַכֵּם,
אכמ״ל,
אַכְמַר,
אָכֵן,
אכנס,
אכסא,
אָכְסִגָרוֹן,
אכסדיא,
"אַכְסַדְרָא, אַכְסַדְרָה",
אכסי,
אָכְסִיגָרוֹן,
אַכְסְיוֹמָא,
אַכְּסִיוֹס,
אָכְסִיטוֹרִין,
אַכְסִירִיָה,
"אַכְסַלְגוֹס, אַכְסַלְגִיָא, אכסלגים",
אַכְסְלִית,
(אכסן),
"אַכְסָן, אַכְסְנָא",
אַכְסְנָא,
אַכְסְנַאי,
אכסנדריא,
אַכְסַנְיָא,
אַכְסַנְיוּת,
אַכְסְנַיי,
אַכְסְנַיי פַּרְכָא,
אכספטיאס [כְּסִיפִיאַס],
אכסרא,
אַכְסָרָה,
אַכְפָּא,
