Ref 1,Ref 2,Found a Better Match?,New Match Ref 1,New Match Ref 2
Tosafot on Niddah 68a:17:1,Shabbat 111a:8,disambiguator found a better match,Tosafot on Niddah 68a:6:1,Shabbat 111a:8
Tosafot on Arakhin 11a:18:1,Sukkah 51a:2,disambiguator found a better match,Tosafot on Arakhin 11a:4:1,Sukkah 51a:2
Tosafot on Niddah 18b:14:1,Avodah Zarah 60b:4,disambiguator found a better match,Tosafot on Niddah 18b:10:1,Avodah Zarah 60b:4
Rashi on Temurah 10b:37:1,Chullin 69b:3,disambiguator found a better match,Rashi on Temurah 10b:15:1,Chullin 69b:3
Rashi on Sotah 3a:23:2,Chullin 128b:6,disambiguator found no match
Tosafot on Bekhorot 53a:27:1,Arakhin 29a:14,disambiguator found a better match,Tosafot on Bekhorot 53a:9:2,Arakhin 29a:14
Tosafot on Temurah 30a:33:1,Zevachim 70b:15,disambiguator found a better match,Tosafot on Temurah 30a:13:1,Zevachim 70b:15
Tosafot on Arakhin 26b:73:1,Gittin 48a:13,disambiguator found a better match,Tosafot on Arakhin 26b:20:1,Gittin 48a:13
Tosafot on Bekhorot 52b:45:1,Sanhedrin 46b:15,disambiguator found a better match,Tosafot on Bekhorot 52b:17:1,Sanhedrin 46b:15
Tosafot on Niddah 54b:36:1,Pesachim 67b:2,disambiguator found a better match,Tosafot on Niddah 54b:16:1,Pesachim 67b:2
Tosafot on Bekhorot 3a:30:1,Yevamot 59a:11,disambiguator found a better match,Tosafot on Bekhorot 3a:10:1,Yevamot 59a:11
Tosafot on Bekhorot 3a:30:1,Yevamot 102a:2,disambiguator found a better match,Tosafot on Bekhorot 3a:10:1,Yevamot 102a:2
Tosafot on Bekhorot 3a:30:1,Ketubot 97b:14,disambiguator found a better match,Tosafot on Bekhorot 3a:10:1,Ketubot 97b:14
Tosafot on Bekhorot 3a:30:1,Chullin 88a:6,disambiguator found a better match,Tosafot on Bekhorot 3a:10:1,Chullin 88a:6
Tosafot on Bekhorot 3a:30:1,Chullin 79b:2,disambiguator found a better match,Tosafot on Bekhorot 3a:10:1,Chullin 79b:2
Tosafot on Bekhorot 34b:23:1,Gittin 44a:19,disambiguator found a better match,Tosafot on Bekhorot 34b:14:1,Gittin 44a:19
"Kessef Mishneh on Mishneh Torah, Sabbath 19:6:1",Shabbat 153b:4,disambiguator found a better match,"Kessef Mishneh on Mishneh Torah, Sabbath 19:9:1",Shabbat 153b:4
Tosafot on Bekhorot 34a:22:1,Menachot 56b:4,disambiguator found a better match,Tosafot on Bekhorot 34a:7:1,Menachot 56b:4
Tosafot on Bekhorot 31a:45:1,Sanhedrin 112b:8,disambiguator found a better match,Tosafot on Bekhorot 31a:15:1,Sanhedrin 112b:8
