Notes,Name,Match Name 1 corrected,Match Name En,Match Name 1,Match Name 2,Match Name 3,Match Name 4,Match Name 5,Match Name 6,Match Name 7,Match Name 8,Match Name 9,Match Name 10,Match Name 11,Match Name 12,Match Name 13,Match Name 14,Match Name 15,Match URL 1,Match URL 2,Match URL 3,Match URL 4,Match URL 5,Match URL 6,Match URL 7,Match URL 8,Match URL 9,Match URL 10,Match URL 11,Match URL 12,Match URL 13,Match URL 14,Match URL 15
,הלל בן רבן גמליאל,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,קמחית,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,רבי חמא בר ביסא,,Rabbi Hama b. Bisa,רבי חמא בר ביסא,,,,,,,,,,,,,,,https://www.sefaria.org.il/person/Rabbi%20Hama%20b.%20Bisa,,,,,,,,,,,,,,
,רבי חנינא בן אלעזר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,רבי חנניה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,יוסף הכהן,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,רבי חנינא בן אחי ר יהושע,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,רבי חנינא בן אנטיגנוס,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,עקילס,,Aquilas,עקילס,,,,,,,,,,,,,,,https://www.sefaria.org/person/Aquilas,,,,,,,,,,,,,,
,רבי נחוניא חופר שיחין,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,רבי ישמעאל,,Rabbi Yishmael b. Elisha,רבי ישמעאל בן אלישע,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Yishmael%20b.%20Elisha,,,,,,,,,,,,,,
,שמעון הצדיק,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,רבי יוסי בן קסמא,,Rabbi Yose b. Kisma,רבי יוסי בן קסמא,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Yose%20b.%20Kisma,,,,,,,,,,,,,,
,יונתן בן עמרם,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
