Topic,English description,Is A Type Of,Is a Type Of (2),Final Topic Name,Final English Translation,Final English Transliteration,Is Translation from External Source,According to:,Additional sources (please use link to Sefaria segment and list multiple sources separated by comma),,,Is Paren Good Description
אלקים אמירה,"HaShem ""speaking""",theological process,,אלקים אמירה,The Speech of God,,,,,,,
אלקים אמת,True/absolute God,theological tenet,,אלקים אמת,The God of Truth,,,,,,,
אלקים ארך אפים,HaShem who is patient,divine role,,אלקים ארך אפים,The Long-Patient God,,,,,,,
אלקים גדולה,greatness/uniqueness of HaShem,divine role,,גדולת אלקים,The Greatness of God,,,,,,,
אלקים דבור ואמירה," HaShem ""speaking""",divine role,,דבור ואמירה של אלקים, The Talk and Speech of God,,,,,,,
אלקים דין,judgement of HaShem,divine role,,דין אלקים,The Judgement of God,,,,,,,
אלקים הגשמה,lack of physicality/definition of HaShem,theological tenet,,הגשמה,(Lack of God's) Physicality,,,,,,,
אלקים השגחה,providence of HaShem,theological process,,השגחה אלוקית,God's Providence ,,,,,,,
אלקים ואומות העולם,relationship of HaShem and other nations,relationship,theology,אלקים ואומות העולם,God and the (Other) Nations of the World,,,,,,,
אלקים והעדר,negative theology?,theology,,אלקים והעדר,God and Immateriality,,,,,,,
אלקים וישראל,HaShem and Israel,relationship,theology,אלקים וישראל,God and Israel,,,,,,,
אלקים ומציאות,HaShem and existence,theological tenet,,אלקים ומציאות,God and Existence,,,,,,,
אלקים ונקה,HaShem who cleanses the sins of those who repent,divine role,,"ונקה (י""ג מידות)",He who Cleanses (One of the Thirteen Divine Attributes of Mercy),,,,,,,y
אלקים ורע,HaShem and evil,theological tenet,,אלקים והרע,God and Evil,,,,,,,
אלקים זכרון,"""memory"" of HaShem",divine role,,אלקים זכרון,God's Memory,,,,,,,
אלקים זמן ומקום,HaShem and spacetime,theological tenet,,אלקים בזמן ובמקום,God in Time and Space,,,,,,,
אלקים חנון חסד,HaShem who is gracious,divine role,,אלקים חנון חסד,The God of Pity and Kindness ,,,,,,,
אלקים חרון אף,HaShem and anger,divine role,,חרון אף אלקים ,God's Burning Anger,,,,,,,
אלקים יד,"""hand"" of HaShem",divine role,,יד אלקים,"The ""Hand"" of God ",,,,,,,
אלקים ידיעה,"""knowledge"" of HaShem",theological tenet,,ידיעה אלקית,God's Knowledge,,,,,,,
אלקים יחוד,Oneness of HaShem,theological tenet,,יחוד אלקים ,The Oneness of God ,,,,,,,
אלקים יכולת,omniscience of HaShem,theological tenet,,יכולת אלקים ,God's Power,,,,,,,
אלקים ירד ישב עמד קום,"""actions"" of HaShem [effecting something]",divine role,,פעולות גשמיות המיוחסות לאלקים,Physical Actions Attributed to God ,,,,,,,
אלקים כבוד מלכות כסא,throne/honor/monarchy of HaShem,divine role,,"כבוד ה', כיסא ה' ומלכות ה'",God's Throne/Glory/Kingdom,,,,,,,
אלקים מדות יג מדות חסד חנון,"the 13 ""midos haRachamim""",divine role,,"חנון ורב חסד (י""ג מידות)",(The God) who Pities and has Great Kindness (Two of the 13 Attributes of Mercy),,,,,,,y
אלקים מדות מדת הדין מדת הרחמים,judgement and mercy of HaShem,divine role,,מדת הדין מדת הרחמים,(God's) Trait of Judgement and Trait of Mercy,,,,,,,
אלקים מלחמה,HaShem and war,divine role,,אלקים ומלחמה,God and War,,,,,,,
אלקים מלכות,HaShem monarchy,divine role,,מלכות אלקים,The Kingdom of God ,,,,,,,
אלקים מעשה,"creation/""actions"" of HaShem",theological process,,מעשה אלקים ,An Act or Creation of God ,,,,,,,
אלקים מציאותו,reality of HaShem,theological tenet,,מציאות אלקים ,God's Existence,,,,,,,
אלקים מקום,HaShem and space,theological tenet,,אלקים והמקום,God and Place,,,,,,,
אלקים נורא,awesomeness of HaShem,divine role,,אלקים נורא,The Awesome God ,,,,,,,
אלקים נושא עון,HaShem who bears iniquity,divine role,,אלקים נושא עון,(The God) who Bears Iniquity (One of the 13 Attributes of Mercy),,,,,,,y
אלקים נשמת רוח,"""expression"" of HaShem (prophecy/word/""breath""/will)",divine role,,נשמת רוח אלקים ,The Soul/Spirit of God,,,,,,,
אלקים סליחה,HaShem and forgiving,theological process,,אלקים סליחה,God's Forgiveness ,,,,,,,
אלקים ספר,"""book"" of HaShem",divine role,,ספר ה',God's Book,,,,,,,
אלקים פוקד עון אבות,HaShem punishing for ancestors' sins,theological process,,"פוקד עון אבות ""י""ג מידות(",God (who) Visits the Sins of the Fathers (upon the Children) ,,,,,,,
אלקים פנים אחור,"""forward"" and ""back"" of HaShem's revelation",divine role,,פנים ואחור של אלקים ,God's Front and Back ,,,,,,,
אלקים צבא,HaShem's legions,divine role,,צבא ה',God's Army or Legions,,,,,,,
אלקים קנא,"HaShem's ""zeal""",divine role,,"קנא (י""ג מידות)",God's Jealousy,,,,,,,
אלקים ראיה עיני,"""gaze"" of HaShem",divine role,,הראייה של אלקים,God's Sighting,,,,,,,
אלקים רוח,"""expression"" of HaShem (prophecy/word/""breath""/will)",theological tenet,,רוח אלקים,The Spirit of God ,,,,,,,
אלקים רצון,"""will"" of HaShem/HaShem ""changing His mind""",theological tenet,,רצון אלקים,God's Will,,,,,,,
אלקים שבח,praise of HaShem,theological process,,שבח אלקים,Praise of God,,,,,,,
אלקים שינוי,"HaShem ""changing His mind""",theological tenet,,שינוי באל,Change in (the Will of) God ,,,,,,,
אלקים שלמותו,"""completeness""/perfection of HaShem",theological tenet,,שלמות אלקים,God's Perfection ,,,,,,,
אלקים שם,"the name ""Elokim""",divine role,,שם 'אלקים',God's Name ,,,,,,,
אלקים שמחה,"""joy"" of HaShem",divine role,,שמחת אלקים,God's Joy,,,,,,,
אלקים תאר,descriptors and HaShem,divine role,,תארי אלקים,Descriptors of God ,,,,,,,
אלקים תהלה,praise of HaShem,theological process,,תהילת אלקים,Praise of God ,,,,,,,
אלקים תורה,HaShem and the Torah,theological tenet,,ה' והתורה,God and the Torah,,,,,,,
אלקים,"HaShem; in a generic sense, ""powers""",divine role,,אלקים,God ,Elo[k]im,,,,,,
אלקנה,,biblical person,,אלקנה,,Elkanah,YES,,,,,
אם אולי,if/when,word,,אם,If,,,,,,,
אם הורים,mother,family role,,אמא,Mother,,,,,,,
אם ירצה ה,"""God willing""",phrase,,אם ירצה ה,God Willing,,,,,,,
אמה שעור,cubit,material quality,,אמה,A Cubit,,,,,,,
אמה שפחה,female servant,role of person,,אמה,A Maidservant (A Female Slave),,,,,,,y
אמהות,foremothers,group of people,,אמהות,Matriarchs,,,,,,,
אמון נא,Alexandria,geographic site,,נא אמון,Alexandria,,,,,,,
אמון,,biblical person,,אמון,,Ammon,,,,,,
אמונה,faith/belief,character trait,quality,אמונה,Belief or Trust,,,,,,,
אמוץ,ashen,color,,אמוץ,Having Ashen Spots,,,Targum Yonatan,Zechariah 6:3,,,
אמורי,,nation/ethnicity,,אמורי,The Amorites,,,,,,,
אמות,doorposts,structure,,אמות,Doorposts,,,,,,,
אמילם,"""I will cut them down""",phrase,process,אמילם,"""I Will Cut Them Down""",,,,,,,
אמיר,best/top branch,plant,fiat object part,אמיר,The Top Branch,,,,,,,
אמן,true/faithful,quality,phrase,אמן,Amen,,,,,,,
אמנה,true/faithful,quality,,אמנה,True or Faithful,,,,,,,
אמנון,,biblical person,,אמנון,,Amnon,YES,,,,,
אמנות,art?,artistic process,,אמנות,The Arts,,,,,,,
אמנם,true/faithful,quality,,אמנם,In Truth,,,,,,,
אמץ,to stay strong,process,,אמץ,To Harden,,,,,,,
אמציה,,biblical person,,אמציה,Amaziah of Judah,,YES,,,,,
אמצע,middle,quality,,אמצע,Middle,,,,,,,
אמר,say,process,,אמר,Said,,,,,,,
אמרפל,,biblical person,,אמרפל,,Amraphel,YES,,,,,
אמת,truth,quality,,אמת,Truth,,,,,,,
אמתחת,load/sack,inanimate object,,אמתחת,Bags,,,,,,,
אמתלאה,,biblical person,,אמתלאה,,Amathlaah,,,,,,
אנא,"""please""",phrase,,אנא,"""Please""",,,,,,,
אנדרינוס,,mishnaic person,,אנדרינוס,Hadrian,Andrianos,,,,,,
אנה זימן,to cause,process,,אינה,To Cause or Bring About,,,,,,,
אנה,where,word,,אנה,Where,,,,,,,
אנוכיות,I-ness,quality,,אנוכיות,Selfishness,,,,,,,
אנוסים,those who are coerced,role of person,,אנוסים,People Coerced (Legal Category),Anusim,,,,,,y
אני ה,"""I am HaShem""",phrase,,אני ה',"""I am the Lord""",,,,,,,
אניה,boat/ship,inanimate object,,אניה,Boat,,,,,,,
אנך,plumb-line,inanimate object,,אנך,Plumbline,,,,,,,
אנכי,"""I""",word,,אנכי,"""I""",,,,,,,
אנף,display anger,process,,אנף,To Get Angry,,,,,,,
אנש,sick/hurt,quality,,אנש,To be Sick or Hurt,,,,,,,
אנשי כנסת הגדולה,,group of people,mishnaic person,אנשי כנסת הגדולה,The Men of the Great Assembly,,,,,,,
אסא,,biblical person,,אסא,Asa [of Judah],,YES,,,,,
אסון,death,lifecycle process,,אסון,Death,,,,,,,
אסטרונומיה,astronomy,science,,אסטרונומיה,Astronomy,,,,,,,
אסמכתא,textual support/hint,meta halacha,,אסמכתא,En Extrinsic Textual Reference,Asmakhta,,,,,,
אסנת,,biblical person,,אסנת,Asenath,Osnat,YES,,,,,
אסף קבץ,collect,process,,אסיפה,Collection,,,,,,,
אסף תהלים,,biblical person,,אסף,"Asaph, son of Berachiah",,YES,,,,,
אספסוף,mixed multitude,group of people,,אספסוף,The Mixed Multitude,,,,,,,
אספסינוס,,mishnaic person,,אספסינוס,Vespasian,Aspasyanos,,,,,,
אספקלריא,glass/mirror,inanimate object,,אספקלריא,A Mirror or Glass Lens,,,,,,,
אסתר,,biblical person,,אסתר,Esther,Ester,YES,,,,,
אף אפים,type of anger,emotion,,אף,Fury,,,,,,,
אף גם,even/also,word,,אף,Even or Also,,,,,,,
אף חוטם,nose,body part,,אף,A Nose,,,,,,,
אף ברי,angel of clouds,spiritual entity,,אף ברי,,Af Beri,,,,,,
אפוד,type of royal garment,inanimate object,,אפוד,A Vest (Priestly Garment),Ephod,,,,,,y
אפודה,beauty/adornment,object,,אפודה,Beauty,,,Rashi,Isaiah 30:22,,,
אפיה,baking,process,,אפיה,Baking,,,,,,,
אפים,face,body part,,אפים,Face,,,,,,,
אפיק,place/source of rushing water,geographic feature,,אפיק,Deep Source of Water,,,,,,,
אפיקורוס,type of heretic,role of person,,אפיקורוס,Heretic,Apikoros,,,,,,
אפלה,intense darkness,quality,,אפלה,Obscurity,,,,,,,
אפס,only/not,word,,אפס,Only or Not,,,,,,,
אפסי ארץ,outer edges of the earth,geographic feature,,אפסי ארץ,Ends of the Earth,,,,,,,
אפעה,violent snake,reptile,,אפעה,Violent Snake,,,,,,,
אפף,surround,process,,אפף,To Surround,,,Malbim,Psalms 18:8,,,
אפקה,,geographic site,,אפקה,To Aphek (Place Name),,,,,,,y
אפר,ashes,inanimate object,,אפר,Ash,,,,,,,
אפרים,,biblical person,nation/ethnicity,אפרים,,Ephraim,,,,,,
אפריקי,,geographic site,,אפריקי,,Afriki,,,,,,
אפרת,somewhere/someone important,quality,,אפרת,Importance,,,,,,,
אפשר,possible,quality,,אפשר,Possible,,,,,,,
אצבע,biological digit ,body part,,אצבע,A Finger,,,,,,,
אצטגנינות,astrology,science,,אצטגנינות,Astrology,,,,,,,
אצל אצילות,adjacent/to confer upon,process,quality,אצילות,Emanation,,,,,,,
אקלים,climate? aristotelian quality,material quality,,אקלים,Climate,,,,,,,
אראלם,their messengers,role of person,,אראלם,Their Messengers,,,Targum Yonatan,Isaiah 33:4,,,
ארבה,type of locust,arthropod,,ארבה,A Type of Locust,,,,,,,
ארבע כוסות,the 4 cups,halachic role of inanimate object,,ארבע כוסות,The Four Cups (Passover Haggadah),,,,,,,
ארבע לשונות של גאולה,4 terms of salvation,theology,,ארבע לשונות של גאולה,The Four Terms of Salvation (Torah),,,,,,,
ארבע מלכויות,the 4 kingdoms,group of people,theology,ארבע מלכויות,The Four Kingdoms (Great Ancient Empires that Ruled over the Land of Israel),,,,,,,y
ארבע פרשיות,the 4 special parshiyos around Purim/Pesach,biblical source,,ארבע פרשיות,The Four (Dedicated) Parshiyot (before Passover),,,,,,,
ארבע,,biblical person,,ארבע,,Arba,,,,,,
ארבעה בנים,the 4 sons,philosophy,,ארבעה בנים,The Four Sons (Passover Haggadah),,,,,,,
ארבעה חרשים,the 4 carpenters,group of people,theology,ארבעה חרשים,The Four Carpenters (Zechariah),,,,Zechariah 2:3,,,
ארבעה יסודות,the 4 elements,object,,ארבעה יסודות,The Four (Basic) Elements,,,,,,,
ארבעה מינים,4 species,group of plants,,ארבעה מינים,The Four Species (Lulav),,,,,,,
ארבעה נהרות,4 rivers,geographic site,,ארבעה נהרות,The Four Rivers (Genesis),,,,Genesis 2:10-14,,,
ארגוב,,geographic site,,ארגוב,The Argov,,,,,,,
ארגמן,reddish wool or silk,color,,ארגמן,Purple Wool,,,,,,,
ארה,pluck,process,,ארה,To Pluck,,,,,,,
ארון,the ark,inanimate object,,ארון,The Ark,,,,,,,
ארונה,,biblical person,,ארונה,Araunah,,,,,,,
ארוסין,engagement,relationship,,ארוסין,Engagement,Eirusin,,,,,,
ארז,type of large tree,plant,,ארז,Cedar ,,,,,,,
אריאל,something extremely powerful/central,inanimate object,,אריאל,"Ariel (A Name Given to Jerusalem or its Altar, Denoting the Lion of God)",,,,,,,y
אריה,lion,mammal,,אריה,A Lion,,,,,,,
אריסטו,Aristotle,person,,אריסטו,Aristotle,,,,,,,
ארם,,nation/ethnicity,,ארם,,Aram,,,,,,
ארמילוס,,person,,ארמילוס,Hermolaus,,,,,,,
ארנבת,type of non-kosher mammal,mammal,,ארנבת,A Hare,,,,,,,
ארנון,,geographic site,,ארנון,,Arnon,,,,,,
ארץ החיים,refrence to Beis HaMikdash,geographic site,,ארץ החיים,The Land of the Living (Sometimes a Reference to the Land of Israel),,,,,,,y
ארץ ישראל גבול,borders of Israel,continuant fiat boundary,,גבולות ארץ ישראל ,The Borders of the Land of Israel,,,,,,,
ארץ ישראל הבטחה זכות,promise of/meriting Israel,theology,,ההבטחה על הארץ,(God's) Promise of the Land (of Israel),,,,,,,
ארץ ישראל השגחה,special providence of Israel,theology,,ההשגחה בארץ ישראל,(Special) Providence in the Land of Israel,,,,,,,
ארץ ישראל חורבן,destruction of Israel,biblical historical event,,חרבן ארץ ישראל,The Destruction of the Land of Israel,,,,,,,
ארץ ישראל ירושה,inheritance of Israel,theological process,,ירושת ארץ ישראל,The Possession of the Land of Israel,,,,,,,
ארץ ישראל ישוב,settling of Israel,halachic process,,יישוב ארץ ישראל,Settling the Land of Israel,,,,,,,
ארץ ישראל כבוש וחלוקה,conquest of Israel,biblical historical event,,כיבוש וחלוקה,Conquest and Division (of the Land of Israel),,,,,,,
ארץ ישראל קדושה ברכה השגחה מעלה,uniqueness/holiness of Israel,theology,,מעלות ארץ ישראל,Distinctions of the Land of Israel,,,,,,,
ארץ ישראל,land of Israel,geographic site,,ארץ ישראל,The Land of Israel,Erets Yisrael,,,,,,
ארץ נוד,land of wandering,geographic site,,ארץ נוד,The Land of Nod (Wandering),,,,Genesis 4:16,,,
ארץ עוץ,,geographic site,,ארץ עוץ,The Land of Uz (Job),,,,,,,
ארץ,land/earth,geographic feature,,ארץ,The Earth or Land,,,,,,,
ארקא,land/earth,geographic feature,,ארקא,The Earth or Land,,,,,,,
ארר,type of curse,phrase,,ארר,To Curse,,,,,,,
אררט,,geographic site,,אררט,,Ararat,,,,,,
ארשת,expression,process,,ארשת,The Speech of (Someone or Something),,,,,,,
אש,fire,inanimate object,,אש,Fire,,,,,,,
אשד,cascade,geographic feature,,אשד,A Cascade,,,,,,,
אשה קרבן,burned korban ,halachic role of inanimate object,,אשה (קרבן),A Fire-Offering (Sacrifice) ,,,,,,,
אשה,woman,quality,,אשה,A Woman,,,,,,,
אשור,,nation/ethnicity,,אשור,Assyria,Ashur,,,,,,
אשישה,portion of food,inanimate object,,אשישה,A Flask or Measure (of Wine or Grapes),,,Pesachim 36b,,,,
אשישי,people,group of people,,אשישי,A Group,,,Targum Yonatan,Isaiah 16:6,,,
אשכל,cluster of grapes,group of plants,,אשכל,A Cluster of Grapes,,,,,,,
אשכנז,,nation/ethnicity,,אשכנז,Ashkenaz (Germany and Northern France),,,,,,,y
אשל,tree/planting,plant,,אשל,A Tree or Orchard,,,,,,,
אשם,guilty/annihilated,quality,,אשם,Guilty,,,,,,,
אשמדאי,king of the sheidim,spiritual entity,,אשמדאי,Asmodeus (King of the Demons),Ashmedai,,,,,,y
אשמורה,watch/shift,span of time,,אשמורה,A Shift or Watch,,,,,,,
אשמנים,graves,inanimate object,,אשמנים,Desolation,,,Radak,Isaiah 59:10,,,
אשנב,window,structure,,אשנב,A Window,,,,Proverbs 7:6,,,
אשף,type of astrology/sorcery,theurgy,,אשף,An Astrologer or Sorcerer,,,Ralbag,Daniel 1:20,,,
אשקלון,,geographic site,,אשקלון,,Ashkelon,,,,,,
