Topic,English description,Is A Type Of,Is a Type Of (2),According to,About Category,Is Category,About Topic,Notes
ישראל ברכה,blessing of Jewish people,theology,,,,,ישראל,
ישראל גלות,exile of Jewish people,span of time,,,,,ישראל,
ישראל השגחה,providence of Jewish people,theology,,,,,ישראל,
ישראל וארץ ישראל,land of Israel and Jewish people,theology,,,,,ישראל,
ישראל וה,HaShem and Jewish people,theology,relationship,,,,ישראל,
ישראל ועמים,Jewish people and non-Jews,relationship,,,,,ישראל,
ישראל חטא,sin of the Jewish people,theological process,,,,,ישראל,
ישראל לעתיד לבא,future of Jewish people,theology,,,,,ישראל,
ישראל מדות וטבע,traits and nature of Jewish people,character trait,,,,,ישראל,
ישראל מזל,mazal and Jewish people,theology,,,,,ישראל,
ישראל מנין,,theological process,,,,,,hidden in entry above
ישראל עונש,punishment of the Jewish people,theological process,,,,,ישראל,
ישראל ערבות,mutual responsibility of Jewish people,meta halacha,,,,,ישראל,
ישראל שם,name Israel,quality,,,,,ישראל,
ישראל תורה,Torah and Jewish people,theology,,,,,ישראל,
ישראל תפקיד,purpose/job of Jewish people,theology,,,,,ישראל,
ישראל,,nation/ethnicity,,,,,,
יששכר וזבולון,,specific biblical person relationship,,,,,,
יששכר איש כפר ברקאי,,mishnaic person,,,,,,
יששכר,,biblical person,,,,,,
יתום,orphan,quality,,,,,,
יתוש,gnat/mosquito?,arthropod,,,,,,
יתכן,makes sense/correct,quality,,,,,,
יתר הישמעאלי,,biblical person,,,,,,
יתרו,,biblical person,,,,,,
כבוד אב ואם,respect for parents,halachic process,,,,,,
כבוד ה,revelation of HaShem (relatively),spiritual entity,,,,,,
כבוד הבריות,"respect for living things, esp. humans",halachic process,,,,,,
כבוד זקן ורב,respect for elderly/superior,halachic process,,,,,,
כבוד,respect/honor,process,,,,,,
כבול,closed/infertile,quality,,,,,,
כביר,great/big,quality,,,,,,
כבלע,as it's uncovered/covered,process,,אבן עזרא,,,,
כבס,wash,process,,,,,,
כברת,measure of distance,material quality,,"רש""י",,,,
כבש בעל חיים,sheep,mammal,,,,,,
כבש וכבשוה,control,process,,,,,,
כבש מזבח,ramp of altar,structure,,,,,,
כבשן,furnace,structure,,,,,,
כדור,sphere/ball,inanimate object,,,,,,
כדכד,precious stone/glass,inanimate object,,,,,,
כה לחי,"""this [good] should be for life""",phrase,,,,,,
כה,like this,preposition,,,,,,
כהה,dull/dim,quality,,,,,,
כהונה בית אב,family division of kohanim,halachic role,,,,,,
כהונה בעל מום,unfit as kohen,halachic quality,,,,,,
כהונה חלוקה ונחלה,portion/ownership of kohen,halachic process,,,,,,
כהונה טומאה,impurity for kohen,halachic quality,,,,,,
כהונה יין,kohen drinking alcohol,halachic process,,,,,,
כהונה מלואים,kohen inauguration,halachic process,,,,,,
כהונה משוח מלחמה,kohen annointed for war,halachic role of person,,,,,,
כהונה משמרות,divisions of kohanim for service,halachic role,,,,,,
כהונה עבודה,service of kohanim ,halachic process,,,,,,
כהונה,quality of being a kohen,halachic role of person,,,,,,
כהן אשה,wife of a kohen,halachic role of person,family role,,,,,
כהן בת,daughter of a kohen,halachic role of person,family role,,,,,
כהן גדול אבלות,kohen gadol mourning,halachic process,,,,,,
כהן גדול הוראה,kohen gadol halachic decision,halachic process,,,,,,
כהן גדול אשה,wife of kohen gadol,halachic role of person,family role,,,,,
כהן גדול,,halachic role of person,,,,,,
כוונה,intention,process,,,,,,
כוזרים,,nation/ethnicity,,,,,,
כוחי ועוצם ידי,"""my ability and virtue""",phrase,,,,,,
כוי,,animal,,,,,,
כויה,skin burn,fiat object part,,,,,,
כוכב,celestial object,inanimate object,,,,,,
כונה,intention,process,,,,,,
כונים,type of idolatry?,theurgy,halachic process,,,,,
כוס של ברכה,cup of blessing,halachic role of inanimate object,,,,,,
כוס,cup,inanimate object,,,,,,
כופר,expiation,role,,,,,,
כור,dry measure,material quality,,,,,,
כורש,,biblical person,,,,,,
כורת,beehive,inanimate object,,,,,,
כוש כושי,,nation/ethnicity,,,,,,
כושן רשעתים,,biblical person,,,,,,
כותים,,nation/ethnicity,,,,,,
כותל מערבי,western wall (of Beis HaMikdash),geographic site,,,,,,
כותל,wall,structure,,,,,,
כזב,deceit,quality,,,,,,
כזבי,,biblical person,,,,,,
כזיב,,geographic site,,,,,,
כח,power/strength,quality,,,,,,
כחד,withhold,process,,,,,,
כחש,contradict/lie,process,,,,,,
כי,if/maybe/but rather/that/because,word,,,,,,
כידון,spear,inanimate object,,,,,,
כילות,stinginess,character trait,,,,,,
כימה,Pleiades cluster,group of inanimate objects,,,,,,
כינוי,epithet,language entity,,,,,,
כירים,stove,inanimate object,,,,,,
ככר מישור,plain,geographic feature,,,,,,
ככר שעור,unit of weight,material quality,,,,,,
כל,all/to measure,quality,process,,,,,
כלאב,,biblical person,,,,,,
כלאים כלאי בהמה,mixing animals,halachic quality,,,,,,
כלאים,forbidden mixing of species,halachic quality,,,,,,
כלב בן יפונה,,biblical person,,,,,,
כלב,dog,mammal,,,,,,
כלבא שבוע,,mishnaic person,,,,,,
כלה נשואין,bride,family role,,,,,,
כלה סוף,to end,process,,,,,,
כלח,aged/complete,quality,,,,,,
כלי גבר,men's clothing/adornment,halachic role of inanimate object,,,,,,
כלי זיין,weapon,inanimate object,,,,,,
כלי חרס,pottery,inanimate object,,,,,,
כלי מקדש ארון בפלשתים,the holy ark in hands of phillistines,biblical historical event,,,,,כלי מקדש,
כלי מקדש ארון כפורת וכרובים,holy ark cover and cherubs,group of inanimate objects,,,,,כלי מקדש,
כלי מקדש ארון מסע,travel of holy ark,biblical historical event,,,,,כלי מקדש,
כלי מקדש ארון,holy ark (of the covenant),inanimate object,,,,,כלי מקדש,
כלי מקדש כיור,the laver,inanimate object,,,,,כלי מקדש,
כלי מקדש מזבח הזהב,the golden altar,inanimate object,,,,,כלי מקדש,
כלי מקדש מזבח,the altar,inanimate object,,,,,כלי מקדש,
כלי מקדש מנורה הדלקה,the temple menorah lighting,halachic process,,,,,כלי מקדש,
כלי מקדש מנורה,temple menorah,inanimate object,,,,,כלי מקדש,
כלי מקדש פרוכת,the temple curtain,inanimate object,,,,,כלי מקדש,
כלי מקדש שולחן,the temple table (of showbread),inanimate object,,,,,כלי מקדש,
כלי מקדש,items of the temple,group of inanimate objects,,,,,,
כלי משכן מזבח אש,the altar fire,inanimate object,,,,,,
כלי נכרים,utensils made by non-Jews,inanimate object,,,halacha,,,
כלי,container/tool/item,inanimate object,,,,,,
כליון עינים,longing,process,,,,,,
כליות,kidneys,body part,,,,,,
כלכל,sustain/contain,process,,,,,,
כלל,principle/generality,meta halacha,,,,,,
כלמה,humiliation,emotion,,,,,,
כמוש,type of idolatry,theurgy,,,,,,
כן אמת,correct,quality,,,,,,
כן,base,inanimate object,,,,,,
כנוס,gather,process,,,,,,
כנור,type of instrument/lyre?,inanimate object,,,,,,
כנים עשר מכות,lice of 10 pagues,biblical historical event,,,,,,
כנים,honest,character trait,,,,,,
כניסה,entrance/gathering,process,,,,,,
כניעה,submission,process,,,,,,
כנסת הגדולה,,group of people,,,,,,
כנסת ישראל,,nation/ethnicity,,,,,,
כנען,,nation/ethnicity,,,,,,
כנף הארץ,far reaches of the land,phrase,,,,,,
כנף רננים,,bird,,,,,,
כנף,wing/edge,body part,,,,,,
כנרת,,geographic site,,,,,,
כסא ליום הכסא,appointed day,phrase,day,,,,,
כסא הכבוד,the Throne of Glory/revelation,spiritual entity,,,,,,
כסא,chair,inanimate object,,,,,,
כסוי הראש,head covering,halachic role of inanimate object,,,,,,
כסות עינים,"""cover of eyes""; colorful garment",phrase,inanimate object,ספורנו,,,,
כסות,clothing,inanimate object,,,,,,
כסיל כוכב,antares?,inanimate object,,,,,,
כסיל שוטה,fool,character trait,,,,,,
כסל,foolishness/trust,quality,,,,,,
כסלו,,month,,,,,,
כסף,money/silver,inanimate object,,,,,,
כעס,anger,emotion,,,,,,
כעת חיה,"""at this time, to be of life""",phrase,,"רש""י",,,,
כעת,at [this/that] time,moment in time,,,,,,
כף הקלע,slingshot,inanimate object,,,,,,though most of the sources are about the spiritual punishment by the same name
כף,palm/sole/cupped item,inanimate object,body part,,,,,
כפה,dome/arching,structure,,,,,,
כפור,frost,weather,,,,,,
כפי,as/like the opening of,preposition,,,,,,
כפיה,coercion,process,,,,,,
כפיית טובה,being ungrateful,process,character trait,,,,,
כפיר,lion cub,mammal,,,,,,
כפירה,heresy/denial,theological process,,,,,,
כפל ענין,redundant phrase,language entity,,,,,,
כפל,double (payment),halachic process,,,,,,
כפר,village,structure,,,,,,human settlement?
כפרה,atonement,theology,,,,,,
כפרות,custom of kapparos,process,,,,,,
כפתורים,,nation/ethnicity,,,,,,
כר,cushion,inanimate object,,,,,,alt. a term for sheep
כרה,dig/buy/set up,process,,,,,,
כרום זולות,,phrase,,,,,,very unsure how to translate this
כרי,noblemen,group of people,,,,,,also means a pile in Chazal
כרך,city,structure,,,,,,human settlement
כרכב,band going around something,inanimate object,,,,,,
כרם רבעי,4th year vineyard produce,halachic role of inanimate object,,,,,,
כרם,vineyard,group of plants,,,,,,
כרמל,fertile land/rich produce,geographic site,material quality,,,,,
כרע כריעה,kneeling,process,,,,,,
כרעים,feet,body part,,,,,,
כרת,divine punishment of severance,theological process,,,,,,
כרתי ופלתי,,group of people,,,,,,acc. to gemara this is urim v'tumim
כרתים,,nation/ethnicity,,,,,,
כשדים,,nation/ethnicity,,,,,,
כשה,cover,process,,"רש""י",,,,
כשוף דורש אל המתים,necromancy,halachic process,,,theurgy,,,
כשוף חובר חבר,animal taming sorcery,halachic process,,,theurgy,,,
כשוף ידעוני,yidoni sorcery,halachic process,,,theurgy,,,
כשוף,sorcery,halachic process,,,theurgy,,,
כתב כתיבה,writing,process,,,,,,
כתבי הקדש,holy books,biblical source,,,,,,
כתובה,marriage document,source,halachic role of inanimate object,,,,,
כתובת קעקע,tattoo,halachic process,,,,,,
כתונת,tunic,inanimate object,,,,,,
כתיב,text,inanimate object,,,,,,
כתים,,nation/ethnicity,,,,,,
כתם,"jewelry, esp. fine gold",inanimate object,,,,,,
כתר,crown,inanimate object,,,,,,
ל,,letter,,,,,,
לא ילבש גבר,prohibition of cross-dressing,halachic process,,,,,,
לא תחמוד,prohibition of coveting,halachic process,,,,,,
לא תחסום,prohibition of muzzling animal while working,halachic process,,,,,,
לא תתגודדו,prohibition of cutting oneself/splitting into factions,halachic process,,,,,,
לא,no,word,,,,,,
לאה,,biblical person,,,,,,
לאו,no/mitzvah in negative,word,,,,,,
לאום לאומיות,nation,group of people,,,,,,
לאמר,that he should say,process,,,,,,
לב,heart/mind/center,body part,,,,,,
לבב,to enamor,process,,,,,,
לבד,only/alone,preposition,,,,,,
לבונה,frankincense?,inanimate object,,,,,,
לבוש,clothing,inanimate object,,,,,,
לביא,lioness,mammal,,,,,,
לבלתי,to not,word,,,,,,
לבן בן בתואל,,biblical person,,,,,,
לבן צבע,white,color,,,,,,
לבן,,biblical person,,,,,,
לבנה,the moon,geographic site,,,,,,
לבנון,,geographic site,,,,,,
לבנת הספיר,,spiritual entity,,,,,,
לג בעומר,,rabbinic holiday,,,,,,
לגלג,be cynical about,process,,,,,,
לגם לגימה,cheekful of liquid,inanimate object,,,,,,
להבה,flame,inanimate object,,,,,,
להט,blade/flame,inanimate object,,,,,,
לו אל,to/about,preposition,,,,,,
לו,please/if it were,word,,,,,,
לוב,,geographic site,,,,,,
לוד,,geographic site,,,,,,
לוה,borrow/lend,process,,,,,,
לוז,,geographic site,,,,,,
לוח,calendar,span of time,,,,,,
לוחות,the tablets,inanimate object,,,,,,
לוט,,biblical person,,,,,,"only top is about Lot. Rest is ambiguous, maybe talking about Nes??"
לוי ברכה,blessing of Levi,theology,,,,,,
לוים מנין,counting and levites,biblical historical event,,,,,,
לוים עבודה,levite service,halachic process,,,,,,
לוים ערי,levite cities,geographic site,,,,,,
לויתן,leviathan,fish,,,,,,
לולא,if [only/not for],preposition,,,,,,unclear what this particular form means
לולב,,halachic role of inanimate object,,,,,,
לולינוס ופפוס,,mishnaic person,,,,,,
לון,to sleep/to overnight,process,,,,,,
לזות,dishonesty,process,,,,,,
לחם הפנים,"""showbread""",halachic role of inanimate object,,,,,,
לחם,bread,inanimate object,,,,,,
לחץ,pressure,process,,,,,,
לחש,incantation,process,,,,,,
לי,to me/for me/mine,word,,,,,,
לידה,giving birth,lifecycle process,,,,,,
לילה,night,part of a day,,,,,,
לילית,,spiritual entity,,,,,,
לינה,sleeping/overnighting,process,,,,,,
ליצנות,nonsense/mockery,process,,,,,,
לך,for you/to you/yours,word,,,,,,
לכה,let's [go],word,,,,,,
לכן,thus,preposition,,,,,,
למה,why,word,,,,,,
למואל,,biblical person,,,,,,
למוד,learning,process,,,,,,
למינו,to its kind,phrase,,,,,,
למך,,biblical person,,,,,,
למנצח,for the musician,phrase,,,,,,
למען,so that,preposition,,,,,,
לנוכח,facing/near ,preposition,,,,,,
לסטים,bandits,group of people,,,,,,
לעג,mockery,process,,,,,,
לעה,to be disoriented,process,,,,,,
לעולם,forever,span of time,,,,,,
לעומת,facing/near ,preposition,,,,,,
לעז,mockery/foreign language,quality,,,,,,
לעתיד לבא נחל,river in future redemption,theological process,,,,,,
לעתיד לבא סעודה,feast in future redemption,theological process,,,,,,
לעתיד לבא,future to come,theological process,,,,,,
לפי,according to,preposition,,,,,,
לפני ה,in front of HaShem,phrase,,,,,,
לפני עור,prohibition of taking advantage of others' weaknesses,halachic process,,,,,,
לפני,before/in front of,preposition,,,,,,
לפנים משורת הדין,beyond the letter of the law,meta halacha,,,,,,
לקוי מאורות,eclipse,process,,,,,,
לקח ויקח,to take,process,,,,,,
לקח,insight/advice,knowledge,,"מלבי""ם",,,,
לקט,produce for poor to gather,halachic role of inanimate object,,,,,,
לקש,late produce,group of plants,,,,,,
לרגל,because of,preposition,,,,,,
לשד,moisture,inanimate object,,,,,,
לשון בני אדם,vernacular,quality,,,,,,
לשון הפסוק,terminology of the verse,quality,,,,,,
לשון הקודש,,language,,,,,,
לשון הרע,negative speech,halachic process,,,,,,
לשון זהורית,strip of red wool,inanimate object,,,,,,
לשון חזל,terminology of chazal,quality,,,,,,
לשון,tongue/language,language entity,body part,,,,,
לשמה,for its intrinsic value,phrase,,,,,,
מ,,letter,,,,,,
מאד,very/asset,quality,,,,,,
מאדים,planet mars,inanimate object,,,,,,
מאומה,anything/nothing,word,,,,,,
מאורה,cave,geographic feature,,"רש""י",,,,
מאורות לקוי,eclipse,process,,,,,,
מאורות,light-giving celestial bodies,group of inanimate objects,,,,,,
מאזנים,scales (to weigh),inanimate object,,,,,,
מאין,from where,word,,,,,,
